exp,salary
7,7187
1,1002
0,485
8,8930
14,14926
4,4294
9,9418
12,12495
2,2802
6,6004
3,3262
13,13517
5,5184
13,13565
3,3881
6,6276
1,1531
2,2645
0,675
3,3325
10,10863
11,11026
8,8567
2,2209
1,1183
5,5407
1,1345
14,14130
9,9825
9,9869
5,5545
3,3691
9,9314
8,8014
2,2384
4,4842
8,8901
14,14659
8,8510
3,3291
7,7476
11,11536
1,1977
8,8112
10,10822
13,13464
1,1454
9,9059
13,13178
1,1972
4,4250
5,5810
13,13661
14,14410
0,670
14,14758
2,2425
14,14044
8,8549
11,11521
14,14189
3,3555
12,12815
2,2265
6,6847
0,545
7,7166
14,14062
10,10004
11,11604
1,1073
12,12755
5,5661
7,7515
5,5695
2,2866
5,5409
13,13783
11,11379
3,3521
9,9027
13,13844
6,6285
2,2826
1,1995
1,1117
5,5077
14,14944
12,12648
10,10369
1,1925
5,5324
3,3361
9,9605
0,815
10,10710
12,12460
5,5041
2,2822
2,2271
10,10001
8,8508
1,1482
7,7168
1,1952
6,6494
1,1164
1,1271
1,1270
0,369
10,10820
1,1449
14,14627
8,8609
3,3584
13,13229
2,2851
11,11514
4,4796
2,2975
9,9657
7,7308
10,10187
4,4282
2,2776
11,11601
1,1068
4,4930
8,8647
5,5977
6,6813
0,906
4,4767
13,13564
13,13992
12,12317
3,3867
14,14516
13,13553
12,12351
7,7610
13,13851
10,10990
5,5964
2,2352
1,1268
10,10870
12,12963
1,1714
8,8184
10,10844
4,4668
6,6418
11,11726
12,12959
6,6378
4,4183
6,6804
8,8983
10,10737
14,14735
4,4774
9,9227
5,5500
6,6724
5,5183
10,10785
11,11030
5,5592
11,11204
3,3839
9,9076
5,5511
2,2046
5,5282
4,4458
9,9854
2,2666
0,663
7,7108
3,3435
11,11139
14,14476
6,6788
11,11554
5,5382
11,11936
8,8787
2,2741
11,11738
9,9605
11,11569
10,10407
3,3588
0,226
12,12471
7,7315
12,12319
9,9205
4,4127
1,1245
4,4035
8,8719
10,10074
7,7116
4,4512
6,6061
10,10179
3,3218
10,10448
3,3455
10,10066
6,6361
5,5038
6,6400
0,2
1,1713
10,10500
14,14184
13,13059
2,2900
8,8635
14,14566
1,1650
5,5947
5,5983
12,12127
11,11682
7,7835
10,10696
10,10610
10,10236
9,9975
11,11813
4,4092
11,11001
3,3101
7,7268
12,12810
4,4779
3,3565
6,6015
6,6688
10,10819
2,2960
9,9933
3,3511
4,4742
12,12540
9,9484
11,11865
8,8080
4,4992
13,13009
5,5019
7,7613
14,14995
2,2479
4,4630
9,9723
5,5883
1,1195
4,4247
0,975
11,11304
0,415
13,13057
13,13267
3,3460
14,14499
12,12665
1,1833
2,2575
6,6152
12,12794
9,9808
3,3151
8,8564
10,10235
1,1693
5,5843
5,5069
8,8313
11,11431
0,67
3,3502
13,13230
1,1130
1,1032
7,7467
13,13902
2,2846
13,13084
12,12999
10,10800
8,8071
10,10259
2,2027
1,1289
11,11908
5,5074
0,901
4,4489
7,7379
13,13354
8,8710
14,14904
2,2655
11,11657
10,10092
14,14069
11,11416
1,1096
6,6432
7,7034
2,2494
8,8916
10,10420
13,13644
3,3431
2,2270
4,4792
4,4988
8,8231
10,10851
10,10296
9,9712
12,12129
13,13663
10,10988
5,5663
3,3626
11,11231
0,385
7,7139
5,5185
9,9955
8,8919
3,3451
10,10839
8,8615
9,9689
10,10503
14,14236
14,14471
14,14252
13,13866
11,11879
13,13571
7,7160
4,4354
4,4638
5,5203
0,829
8,8090
8,8933
8,8908
4,4010
13,13257
7,7817
0,41
1,1738
5,5672
7,7898
6,6248
14,14230
5,5294
4,4453
12,12804
10,10160
12,12213
14,14111
14,14321
6,6091
13,13588
6,6364
3,3017
5,5208
10,10628
9,9812
1,1402
10,10242
3,3778
10,10387
4,4686
13,13500
11,11035
5,5312
4,4920
11,11186
2,2759
7,7736
14,14288
3,3262
4,4917
1,1771
2,2487
9,9013
10,10547
14,14921
11,11453
4,4028
11,11498
6,6723
0,150
11,11293
8,8177
0,943
7,7185
1,1298
1,1372
14,14620
11,11235
8,8995
3,3702
0,177
8,8439
2,2174
11,11263
5,5411
1,1017
11,11575
3,3079
12,12608
5,5265
12,12212
1,1347
12,12121
12,12966
8,8197
10,10065
12,12732
7,7531
3,3988
14,14676
0,283
1,1476
8,8563
4,4348
3,3114
8,8773
4,4568
9,9891
5,5208
10,10197
11,11160
5,5747
8,8245
12,12031
12,12521
1,1407
8,8475
9,9907
4,4001
4,4647
14,14232
7,7930
13,13380
10,10217
4,4673
13,13474
1,1262
4,4512
9,9072
0,311
5,5210
2,2686
11,11210
8,8622
1,1439
6,6744
8,8901
10,10152
0,250
1,1974
6,6376
10,10138
13,13526
5,5152
6,6695
8,8063
0,509
14,14965
6,6078
0,37
4,4964
9,9846
2,2089
2,2185
7,7947
11,11777
14,14533
8,8241
11,11307
1,1022
12,12117
5,5247
3,3089
9,9037
8,8265
